Temperature,Metallicity,Altitude,Degree,CO Degree,CH4 Degree,NH3 Degree,H2O Degree,Average shortest path length,Average clustering coefficient,CO clustering coefficient,CH4 clustering coefficient,NH3 clustering coefficient,H2O clustering coefficient,Average node betweenness centrality,CO node betweenness centrality,CH4 node betweenness centrality,NH3 node betweenness centrality,H2O node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CO neighbor degree,CH4 neighbor degree,NH3 neighbor degree,H2O neighbor degree,CO abundance,CH4 abundance,NH3 abundance,H2O abundance,Phi distribution,kzz
0,1922.33753161,1.0,29,47.6444500195,48.6872122866,45.7872539109,47.2124847491,45.1709109473,38.5646272113,-6.57145459049,-5.90628251563,-5.7482425797,-6.18555468264,-6.55107392347,-0.974998160218,-0.738884030953,0.0,-1.42893321124,-0.816486816901,-1.77318930469,27.2997612806,1.17609478137,1.52509593518,1.49133842943,1.54454543671,-3.33326466269,-6.51437370257,-6.41687516342,-3.46831232599,28.8964403563,3
1,2113.73293514,1.0,29,48.5512160151,49.588686617,45.9216079203,47.4803639693,46.3514207928,38.8604963555,-6.74285195737,-5.80729958451,-6.38601593998,-6.60558864247,-6.81259543877,-0.966790071504,-0.769126350033,0.0,-1.42893321124,-0.879535369373,-1.7658584829,27.3176414012,1.17609436037,1.52517477499,1.49134544678,1.56615878251,-3.33337823742,-7.0596026585,-6.64850697332,-3.4690622828,28.9017703056,3
2,2019.90426145,1.0,29,48.1285079423,49.1718415578,45.8569644623,47.3272873212,45.787785511,38.7222825444,-6.699201408,-5.85569693614,-6.10322739782,-6.46527279545,-6.71652350566,-0.960125601869,-0.749940805002,0.0,-1.42893321124,-0.835235872646,-1.76015517433,27.3152568643,1.17609452221,1.52512981153,1.49134233474,1.56185524351,-3.33323749283,-6.80597055394,-6.56968983073,-3.46868420557,28.8983290002,3
3,1988.84878454,1.0,29,47.9810623475,49.0253007824,45.8351270982,47.282863347,45.595562697,38.6741849389,-6.67164316504,-5.87177182994,-5.99886540832,-6.39778200692,-6.67474357313,-0.962832696978,-0.744732807401,0.0,-1.42893321124,-0.823096163015,-1.76254100816,27.3121252263,1.17609459058,1.52511718359,1.49134119422,1.55849743078,-3.33322036632,-6.71737864812,-6.53292231827,-3.46856614957,28.8976509942,3
4,1913.83681924,1.0,29,47.6014280577,48.6440016578,45.7811353043,47.2034897566,45.1166367873,38.5506247878,-6.55864962565,-5.91069327923,-5.71621081834,-6.15843019824,-6.53526787449,-0.976553011455,-0.738136506825,0.0,-1.42893321124,-0.815642085403,-1.77455024892,27.2981810616,1.17609480576,1.52509321945,1.49133807607,1.54276225141,-3.33327032415,-6.4884279178,-6.40204333509,-3.46827988514,28.8962856263,3
5,2119.9272059,1.0,29,48.5766920707,49.6136096594,45.9256977681,47.4901944659,46.3859805319,38.868877717,-6.74300932121,-5.80414472196,-6.40041263614,-6.61096186585,-6.81772995559,-0.971007545209,-0.770107067729,0.0,-1.42893321124,-0.87949379073,-1.76952100548,27.3167953327,1.1760943534,1.52517860156,1.49134562172,1.56625102456,-3.33339715512,-7.07498124079,-6.65263689774,-3.46909577827,28.9024603049,3
6,1959.97877645,1.0,29,47.834951724,48.8785494106,45.8143471663,47.2523146714,45.4112375053,38.6266300915,-6.62815511106,-5.88675160752,-5.89007955973,-6.3056621881,-6.6210632765,-0.968113262397,-0.742194075744,0.0,-1.42893321124,-0.82022729696,-1.76716302915,27.3067585072,1.1760946734,1.52510796046,1.49133999413,1.5524414002,-3.33323959369,-6.62926191354,-6.48255065705,-3.46845597439,28.8971255023,3
7,1882.7437035,1.0,29,47.4418357127,48.4744741601,45.7593131381,47.212789988,44.951979332,38.4973911305,-6.4750027499,-5.92600385342,-5.57666858573,-6.00196360857,-6.43491198563,-0.987530348159,-0.700290710455,0.0,-1.42893321124,-0.840084132068,-1.78379043796,27.2236062186,1.17609493656,1.52508488844,1.49133660679,1.52728688751,-3.33335108233,-6.38618972754,-6.29968006873,-3.46810570674,28.8937516857,3
8,1864.27843829,1.0,29,47.3459964303,48.3683322855,45.7466192792,47.2384089288,44.8703187351,38.4648168403,-6.40779881579,-5.93470457786,-5.48314180054,-5.88177944284,-6.35505558751,-0.996568570991,-0.661095463258,0.0,-1.42893321124,-0.867709899536,-1.79130754923,27.1465590602,1.17609503405,1.52508070392,1.49133565005,1.51383321132,-3.33342763749,-6.32198016493,-6.21597879627,-3.46797582972,28.8913097211,3
9,2046.91512194,1.0,29,48.2520113649,49.2937812477,45.8757065147,47.3715598569,45.9520226473,38.7626263086,-6.7138041238,-5.84173454568,-6.18782900883,-6.50857448825,-6.74508319748,-0.95921985328,-0.755677548075,0.0,-1.42893321124,-0.850206175032,-1.75934020419,27.3166935756,1.17609447284,1.5251421137,1.49134325343,1.56323756997,-3.33327081249,-6.88000556226,-6.59318174212,-3.46878666226,28.8989736366,3
